slave_unit,date_stamp,time_stamp,apparent_power,real_power,total_power
2,150805,23:27:00,0.0195803269744,-0.0306744743139,0.0363911055028
2,150805,23:28:00,0.0199412479997,-0.0309129282832,0.0367867164314
2,150805,23:29:00,0.0200326740742,-0.0310518369079,0.0369530059397
2,150805,23:30:00,0.0,0.0,0.0
2,150805,23:31:00,0.0,0.0,0.0
2,150805,23:32:00,0.0,0.0,0.0
2,150805,23:33:00,0.0,0.0,0.0
2,150805,23:34:00,0.0,0.0,0.0
2,150805,23:35:00,0.0,0.0,0.0
2,150805,23:36:00,0.0,0.0,0.0
2,150805,23:37:00,0.0,0.0,0.0
2,150805,23:38:00,0.0,0.0,0.0
2,150805,23:39:00,0.0,0.0,0.0
2,150805,23:40:00,0.0,0.0,0.0
2,150805,23:41:00,0.0,0.0,0.0
2,150805,23:42:00,0.0,0.0,0.0
2,150805,23:43:00,0.0,0.0,0.0
2,150805,23:44:00,0.0,0.0,0.0
2,150805,23:45:00,0.0,0.0,0.0
2,150805,23:46:00,0.0,0.0,0.0
2,150805,23:47:00,0.0,0.0,0.0
2,150805,23:48:00,0.0,0.0,0.0
2,150805,23:49:00,0.0,0.0,0.0
2,150805,23:50:00,0.0,0.0,0.0
2,150805,23:51:00,0.0,0.0,0.0
2,150805,23:52:00,0.0,0.0,0.0
2,150805,23:53:00,0.0,0.0,0.0
2,150805,23:54:00,0.0,0.0,0.0
2,150805,23:55:00,0.0,0.0,0.0
2,150805,23:56:00,0.0,0.0,0.0
2,150805,23:57:00,0.0,0.0,0.0
2,150805,23:58:00,0.0,0.0,0.0
2,150805,23:59:00,0.0,0.0,0.0
